read,delay,Average,Max,Min,Std. Dev,Count > 16.66,Count <= 10
263,8.98,,,,,,
264,6.7,,,,,,
265,4.14,,,,,,
266,8.37,,,,,,
267,6.11,,,,,,
268,12.03,,,,,,
269,8.98,,,,,,
270,6.53,,,,,,
271,4.23,,,,,,
272,9.06,,,,,,
273,6.11,,,,,,
274,18.74,,,,,,
275,9.11,,,,,,
276,6.4,,,,,,
277,11.21,,,,,,
278,8.74,,,,,,
279,5.98,,,,,,
280,11.34,,,,,,
281,8.51,,,,,,
282,5.6,,,,,,
283,10.07,,,,,,
284,7.74,,,,,,
285,4.57,,,,,,
286,10.16,,,,,,
287,7.42,,,,,,
288,4.42,,,,,,
289,8.91,,,,,,
290,6.33,,,,,,
291,11.6,,,,,,
292,9.33,,,,,,
293,6.75,,,,,,
294,11.02,,,,,,
295,8.65,,,,,,
296,6.3,,,,,,
297,11.74,,,,,,
298,9.07,,,,,,
299,6.46,,,,,,
300,10.84,,,,,,
301,7.89,,,,,,
302,5.37,,,,,,
303,11.07,,,,,,
304,8.7,,,,,,
305,6.49,,,,,,
306,4.39,,,,,,
307,8.62,,,,,,
308,6.04,,,,,,
309,11.63,,,,,,
310,9.04,,,,,,
311,6.41,,,,,,
312,11.11,,,,,,
313,8.95,,,,,,
314,5.86,,,,,,
315,11.68,,,,,,
316,9.34,,,,,,
317,6.63,,,,,,
318,11.03,,,,,,
319,8.61,,,,,,
320,6.2,,,,,,
321,11.86,,,,,,
322,8.98,,,,,,
323,5.91,,,,,,
324,10.25,,,,,,
325,7.22,,,,,,
326,4.33,,,,,,
327,10.19,,,,,,
328,7.38,,,,,,
329,4.5,,,,,,
330,8.77,,,,,,
331,5.9,,,,,,
332,11.65,,,,,,
333,9.47,,,,,,
334,6.65,,,,,,
335,11.05,,,,,,
336,7.99,,,,,,
337,4.92,,,,,,
338,10.6,,,,,,
339,8.06,,,,,,
340,5.66,,,,,,
341,10.39,,,,,,
342,7.24,,,,,,
343,12.32,,,,,,
344,9.22,,,,,,
345,6.5,,,,,,
346,10.75,,,,,,
347,7.62,,,,,,
348,4.83,,,,,,
349,10.71,,,,,,
350,8.28,,,,,,
351,6.1,,,,,,
352,10.17,,,,,,
353,7.94,,,,,,
354,4.91,,,,,,
355,10.76,,,,,,
356,8.45,,,,,,
357,5.67,,,,,,
358,10.32,,,,,,
359,7.77,,,,,,
360,5.15,,,,,,
361,10.85,,,,,,
362,8.04,,,,,,
363,5.1,,,,,,
364,10.09,,,,,,
365,7.34,,,,,,
366,5.01,,,,,,
367,10.1,,,,,,
368,7.29,,,,,,
369,4.66,,,,,,
370,8.68,,,,,,
371,5.71,,,,,,
372,11.45,,,,,,
373,8.88,,,,,,
374,6.38,,,,,,
375,10.92,,,,,,
376,8.64,,,,,,
377,5.68,,,,,,
378,11.29,,,,,,
379,8.45,,,,,,
380,5.8,,,,,,
381,10.36,,,,,,
382,7.25,,,,,,
383,4.22,,,,,,
384,10.13,,,,,,
385,6.94,,,,,,
386,4.12,,,,,,
387,8.2,,,,,,
388,5.08,,,,,,
389,10.13,,,,,,
390,7.73,,,,,,
391,5.05,,,,,,
392,9.84,,,,,,
393,6.74,,,,,,
394,12.22,,,,,,
395,9.56,,,,,,
396,7.06,,,,,,
397,4.87,,,,,,
398,9.15,,,,,,
399,6.02,,,,,,
400,11.06,,,,,,
401,8.13,,,,,,
402,5.05,,,,,,
403,9.2,,,,,,
404,6.43,,,,,,
405,11.92,,,,,,
406,9.18,,,,,,
407,6.73,,,,,,
408,10.91,,,,,,
409,8.46,,,,,,
410,5.38,,,,,,
411,10.33,,,,,,
412,7.17,,,,,,
413,4.95,,,,,,
414,9.21,,,,,,
415,6.37,,,,,,
416,11.38,,,,,,
417,8.96,,,,,,
418,6.48,,,,,,
419,10.69,,,,,,
420,8.2,,,,,,
421,5.8,,,,,,
422,11.22,,,,,,
423,8.21,,,,,,
424,5.9,,,,,,
425,10.61,,,,,,
426,7.48,,,,,,
427,4.58,,,,,,
428,9.84,,,,,,
429,7.57,,,,,,
430,4.85,,,,,,
431,9.23,,,,,,
432,6.3,,,,,,
433,11.36,,,,,,
434,8.62,,,,,,
435,5.87,,,,,,
436,10.07,,,,,,
437,7.66,,,,,,
438,5.39,,,,,,
439,10.97,,,,,,
440,8.52,,,,,,
441,5.71,,,,,,
442,10.24,,,,,,
443,7.72,,,,,,
444,5.5,,,,,,
445,11.49,,,,,,
446,8.54,,,,,,
447,5.55,,,,,,
448,10.46,,,,,,
449,8.21,,,,,,
450,5.49,,,,,,
451,11.16,,,,,,
452,8.79,,,,,,
453,6.4,,,,,,
454,10.87,,,,,,
455,7.97,,,,,,
456,5.17,,,,,,
457,10.72,,,,,,
458,7.94,,,,,,
459,5.18,,,,,,
460,9.93,,,,,,
461,6.62,,,,,,
462,10.84,,,,,,
463,9.21,,,,,,
464,6.68,,,,,,
465,11.34,,,,,,
466,9,,,,,,
467,5.94,,,,,,
468,11.72,,,,,,
469,8.77,,,,,,
470,6.41,,,,,,
471,11.26,,,,,,
472,8.23,,,,,,
473,5.64,,,,,,
474,11,,,,,,
475,8.18,,,,,,
476,5.44,,,,,,
477,10.07,,,,,,
478,7.03,,,,,,
479,4.52,,,,,,
480,9.54,,,,,,
481,6.9,,,,,,
482,4.35,,,,,,
483,9.13,,,,,,
484,6.02,,,,,,
485,11.82,,,,,,
486,9.52,,,,,,
487,7.03,,,,,,
488,11.03,,,,,,
489,8.62,,,,,,
490,6.23,,,,,,
491,12.05,,,,,,
492,9.51,,,,,,
493,7.04,,,,,,
494,11.16,,,,,,
495,8.04,,,,,,
496,5.26,,,,,,
497,10.6,,,,,,
498,8.25,,,,,,
499,5.49,,,,,,
500,9.6,,,,,,
501,7.05,,,,,,
502,12.09,,,,,,
503,9.19,,,,,,
504,6.1,,,,,,
505,10.26,,,,,,
506,7.45,,,,,,
507,4.38,,,,,,
508,9.69,,,,,,
509,6.76,,,,,,
510,11.05,,,,,,
511,8.21,,,,,,
512,5.98,,,,,,
513,11.83,,,,,,
514,9.48,,,,,,
515,7.1,,,,,,
516,4.42,,,,,,
517,8.76,,,,,,
518,6.26,,,,,,
519,11.54,,,,,,
520,8.75,,,,,,
521,5.95,,,,,,
522,10.4,,,,,,
523,7.51,,,,,,
524,4.53,,,,,,
525,9.7,,,,,,
526,6.98,,,,,,
527,4.34,,,,,,
528,8.78,,,,,,
529,6.57,,,,,,
530,12.1,,,,,,
531,8.96,,,,,,
532,6.14,,,,,,
533,11.05,,,,,,
534,8.17,,,,,,
535,5.92,,,,,,
536,11.56,,,,,,
537,9.3,,,,,,
538,6.18,,,,,,
539,10.89,,,,,,
540,8.69,,,,,,
541,5.81,,,,,,
542,11.59,,,,,,
543,8.46,,,,,,
544,5.34,,,,,,
545,9.54,,,,,,
546,6.59,,,,,,
547,11.78,,,,,,
548,9.42,,,,,,
549,6.36,,,,,,
550,10.48,,,,,,
551,7.77,,,,,,
552,4.82,,,,,,
553,10.66,,,,,,
554,8.11,,,,,,
555,5.75,,,,,,
556,9.76,,,,,,
557,7.1,,,,,,
558,4.84,,,,,,
559,10.32,,,,,,
560,7.46,,,,,,
561,4.8,,,,,,
562,9.28,,,,,,
563,6.7,,,,,,
564,11.7,,,,,,
565,9.28,,,,,,
566,6.9,,,,,,
567,4.48,,,,,,
568,8.68,,,,,,
569,5.98,,,,,,
570,11.25,,,,,,
571,8.11,,,,,,
572,5.06,,,,,,
573,9.25,,,,,,
574,6.36,,,,,,
575,11.59,,,,,,
576,9.35,,,,,,
577,6.33,,,,,,
578,10.37,,,,,,
579,8.18,,,,,,
580,5.97,,,,,,
581,19.14,,,,,,
582,9.02,,,,,,
583,6.54,,,,,,
